Way_ID,Source_Row,Longest_Road,Biggest_Army,Cities,Settlements,Victory_Point_Cards,Total_Victory_Points,Twelve_Point_Edge_Case,Article_Min_Cost,Buildings,New_Settlements_To_Build,City_Upgrades,Roads_To_Build,Development_Cards_To_Buy,Wheat_Needed,Ore_Needed,Wood_Needed,Brick_Needed,Wool_Needed,Production_Only_Total,Production_Minus_Article_Min
27,27,no,yes,3,1,1,10,no,35,4,2,3,2,4,12,13,4,4,6,39,4
28,28,no,no,3,1,3,10,no,35,4,2,3,2,3,11,12,4,4,5,36,1
29,29,no,yes,3,1,2,11,no,38,4,2,3,2,5,13,14,4,4,7,42,4
30,30,yes,no,4,2,0,12,yes,46,6,4,4,6,0,12,12,10,10,4,48,2
31,31,no,yes,3,2,0,10,no,38,5,3,3,3,3,12,12,6,6,6,42,4
32,32,no,no,3,0,4,10,no,33,3,1,3,1,4,11,13,2,2,5,33,0
33,33,no,yes,3,2,1,11,no,41,5,3,3,3,4,13,13,6,6,7,45,4
34,34,no,no,2,1,5,10,no,31,3,1,2,1,5,10,11,2,2,6,31,0
35,35,no,yes,1,4,3,11,no,37,5,3,1,3,6,11,9,6,6,9,41,4
36,36,no,yes,1,4,2,10,no,34,5,3,1,3,5,10,8,6,6,8,38,4
37,37,no,yes,0,5,3,10,no,32,5,3,0,3,6,9,6,6,6,9,36,4
38,38,yes,no,4,0,0,10,no,34,4,2,4,4,0,10,12,6,6,2,36,2
39,39,yes,yes,2,2,1,11,no,33,4,2,2,4,4,10,10,6,6,6,38,5
40,40,yes,yes,2,2,0,10,no,30,4,2,2,4,3,9,9,6,6,5,35,5
41,41,no,yes,0,5,4,11,no,35,5,3,0,3,7,10,7,6,6,10,39,4
42,42,yes,no,4,0,1,11,no,37,4,2,4,4,1,11,13,6,6,3,39,2
43,43,yes,yes,2,2,2,12,yes,36,4,2,2,4,5,11,11,6,6,7,41,5
44,44,no,no,3,4,0,10,no,45,7,5,3,6,0,11,9,11,11,5,47,2
45,45,yes,no,3,4,0,12,yes,47,7,5,3,7,0,11,9,12,12,5,49,2
46,46,no,no,3,2,2,10,no,38,5,3,3,3,2,11,11,6,6,5,39,1
47,47,yes,yes,0,5,3,12,yes,35,5,3,0,5,6,9,6,8,8,9,40,5
48,48,yes,yes,0,5,2,11,no,32,5,3,0,5,5,8,5,8,8,8,37,5
49,49,yes,yes,0,5,1,10,no,29,5,3,0,5,4,7,4,8,8,7,34,5
50,50,no,no,3,3,1,10,no,40,6,4,3,4,1,11,10,8,8,5,42,2
51,51,yes,yes,2,4,0,12,yes,42,6,4,2,6,3,11,9,10,10,7,47,5
52,52,yes,yes,1,3,1,10,no,28,4,2,1,4,4,8,7,6,6,6,33,5
53,53,yes,no,2,3,1,10,no,33,5,3,2,5,1,8,7,8,8,4,35,2
54,54,no,no,1,3,5,10,no,31,4,2,1,2,5,9,8,4,4,7,32,1
55,55,yes,yes,1,3,3,12,yes,34,4,2,1,4,6,10,9,6,6,8,39,5
56,56,yes,no,2,3,3,12,yes,39,5,3,2,5,3,10,9,8,8,6,41,2
57,57,yes,yes,1,3,2,11,no,31,4,2,1,4,5,9,8,6,6,7,36,5
58,58,yes,no,2,3,2,11,no,36,5,3,2,5,2,9,8,8,8,5,38,2
59,59,yes,no,2,2,4,12,yes,36,4,2,2,4,4,10,10,6,6,6,38,2
60,60,yes,no,2,2,3,11,no,33,4,2,2,4,3,9,9,6,6,5,35,2
61,61,yes,no,2,2,2,10,no,30,4,2,2,4,2,8,8,6,6,4,32,2
62,62,no,no,0,5,5,10,no,32,5,3,0,3,5,8,5,6,6,8,33,1
63,63,yes,no,2,0,5,11,no,30,2,0,2,3,5,9,11,3,3,5,31,1
64,64,yes,no,3,2,2,12,yes,41,5,3,3,5,2,11,11,8,8,5,43,2
65,65,yes,no,3,2,1,11,no,38,5,3,3,5,1,10,10,8,8,4,40,2
66,66,yes,no,3,2,0,10,no,35,5,3,3,5,0,9,9,8,8,3,37,2
67,67,no,no,1,4,4,10,no,34,5,3,1,3,4,9,7,6,6,7,35,1
68,68,yes,no,2,0,4,10,no,27,2,0,2,3,4,8,10,3,3,4,28,1
69,69,yes,yes,3,1,0,11,no,35,4,2,3,4,3,11,12,6,6,5,40,5
70,70,yes,yes,3,1,1,12,yes,38,4,2,3,4,4,12,13,6,6,6,43,5
71,71,no,no,1,5,3,10,no,36,6,4,1,4,3,9,6,8,8,7,38,2
72,72,yes,no,2,1,3,10,no,28,3,1,2,3,3,8,9,4,4,4,29,1
73,73,yes,no,2,1,4,11,no,31,3,1,2,3,4,9,10,4,4,5,32,1
74,74,yes,no,2,1,5,12,yes,34,3,1,2,3,5,10,11,4,4,6,35,1
75,75,yes,no,3,0,2,10,no,30,3,1,3,3,2,9,11,4,4,3,31,1
76,76,yes,no,3,0,3,11,no,33,3,1,3,3,3,10,12,4,4,4,34,1
77,77,yes,no,0,4,5,11,no,29,4,2,0,4,5,7,5,6,6,7,31,2
78,78,yes,no,0,4,4,10,no,26,4,2,0,4,4,6,4,6,6,6,28,2
79,79,yes,no,3,1,3,12,yes,38,4,2,3,4,3,11,12,6,6,5,40,2
80,80,yes,no,0,5,4,11,no,32,5,3,0,5,4,7,4,8,8,7,34,2
81,81,yes,no,0,5,5,12,yes,35,5,3,0,5,5,8,5,8,8,8,37,2
82,82,yes,no,0,5,3,10,no,29,5,3,0,5,3,6,3,8,8,6,31,2
83,83,yes,no,3,1,1,10,no,32,4,2,3,4,1,9,10,6,6,3,34,2
84,84,yes,no,3,1,2,11,no,35,4,2,3,4,2,10,11,6,6,4,37,2
85,85,yes,yes,1,1,4,11,no,28,2,0,1,3,7,9,10,3,3,7,32,4
86,87,yes,yes,1,1,3,10,no,25,2,0,1,3,6,8,9,3,3,6,29,4
87,88,yes,yes,1,2,2,10,no,26,3,1,1,3,5,8,8,4,4,6,30,4
88,89,yes,no,2,4,0,10,no,36,6,4,2,6,0,8,6,10,10,4,38,2
89,90,yes,yes,1,4,1,11,no,34,5,3,1,5,4,9,7,8,8,7,39,5
90,91,yes,yes,1,4,2,12,yes,37,5,3,1,5,5,10,8,8,8,8,42,5
91,92,yes,yes,1,4,0,10,no,31,5,3,1,5,3,8,6,8,8,6,36,5
92,93,yes,yes,1,2,3,11,no,29,3,1,1,3,6,9,9,4,4,7,33,4
93,94,yes,no,2,4,1,11,no,39,6,4,2,6,1,9,7,10,10,5,41,2
94,95,yes,yes,1,2,4,12,yes,32,3,1,1,3,7,10,10,4,4,8,36,4
95,96,yes,no,2,4,2,12,yes,42,6,4,2,6,2,10,8,10,10,6,44,2
96,97,yes,no,0,3,5,10,no,24,3,1,0,3,5,6,5,4,4,6,25,1
97,98,yes,yes,0,3,3,10,no,24,3,1,0,3,6,7,6,4,4,7,28,4
98,99,yes,yes,0,3,4,11,no,27,3,1,0,3,7,8,7,4,4,8,31,4
99,100,yes,no,1,4,4,12,yes,37,5,3,1,5,4,9,7,8,8,7,39,2
100,101,yes,yes,0,3,5,12,yes,30,3,1,0,3,8,9,8,4,4,9,34,4
101,102,yes,no,1,4,3,11,no,34,5,3,1,5,3,8,6,8,8,6,36,2
102,103,no,no,4,1,1,10,no,40,5,3,4,3,1,12,13,6,6,4,41,1
103,104,yes,no,1,4,2,10,no,31,5,3,1,5,2,7,5,8,8,5,33,2
104,105,yes,yes,0,4,2,10,no,26,4,2,0,4,5,7,5,6,6,7,31,5
105,106,yes,yes,0,4,3,11,no,29,4,2,0,4,6,8,6,6,6,8,34,5
106,107,yes,no,1,5,3,12,yes,40,6,4,1,6,3,9,6,10,10,7,42,2
107,108,yes,yes,0,4,4,12,yes,32,4,2,0,4,7,9,7,6,6,9,37,5
108,109,yes,no,1,5,2,11,no,37,6,4,1,6,2,8,5,10,10,6,39,2
109,110,no,no,4,0,2,10,no,37,4,2,4,2,2,12,14,4,4,4,38,1
110,111,yes,no,1,5,1,10,no,34,6,4,1,6,1,7,4,10,10,5,36,2
111,112,yes,yes,0,2,5,11,no,26,2,0,0,3,8,8,8,3,3,8,30,4
112,113,yes,no,1,3,5,12,yes,34,4,2,1,4,5,9,8,6,6,7,36,2
113,114,yes,yes,0,2,4,10,no,23,2,0,0,3,7,7,7,3,3,7,27,4
114,115,no,no,4,2,0,10,no,42,6,4,4,4,0,12,12,8,8,4,44,2
115,116,yes,no,1,3,3,10,no,28,4,2,1,4,3,7,6,6,6,5,30,2
116,117,yes,no,1,3,4,11,no,31,4,2,1,4,4,8,7,6,6,6,33,2
117,118,yes,no,4,1,0,11,no,40,5,3,4,5,0,11,12,8,8,3,42,2
118,119,yes,no,4,1,1,12,yes,43,5,3,4,5,1,12,13,8,8,4,45,2
119,120,yes,no,1,2,4,10,no,26,3,1,1,3,4,7,7,4,4,5,27,1
120,121,yes,no,1,2,5,11,no,29,3,1,1,3,5,8,8,4,4,6,30,1
121,122,yes,yes,2,3,1,12,yes,39,5,3,2,5,4,11,10,8,8,7,44,5
122,123,no,yes,3,3,0,11,no,43,6,4,3,4,3,13,12,8,8,7,48,5
123,124,yes,yes,2,3,0,11,no,36,5,3,2,5,3,10,9,8,8,6,41,5
124,125,no,yes,4,0,0,10,no,37,4,2,4,2,3,13,15,4,4,5,41,4
125,126,yes,no,3,3,0,11,no,41,6,4,3,6,0,10,9,10,10,4,43,2
126,127,no,yes,4,0,1,11,no,40,4,2,4,2,4,14,16,4,4,6,44,4
127,128,yes,no,3,3,1,12,yes,44,6,4,3,6,1,11,10,10,10,5,46,2
128,129,yes,no,1,1,5,10,no,25,2,0,1,3,5,7,8,3,3,5,26,1
129,130,no,yes,2,1,3,10,no,31,3,1,2,1,6,11,12,2,2,7,34,3
130,131,no,yes,2,1,4,11,no,34,3,1,2,1,7,12,13,2,2,8,37,3
131,132,yes,yes,3,2,0,12,yes,41,5,3,3,5,3,12,12,8,8,6,46,5
132,133,no,yes,2,2,3,11,no,36,4,2,2,2,6,12,12,4,4,8,40,4
133,134,no,yes,2,2,2,10,no,33,4,2,2,2,5,11,11,4,4,7,37,4
134,135,no,yes,2,4,1,11,no,41,6,4,2,4,4,12,10,8,8,8,46,5
135,136,no,yes,2,4,0,10,no,38,6,4,2,4,3,11,9,8,8,7,43,5
136,137,yes,yes,2,1,3,12,yes,34,3,1,2,3,6,11,12,4,4,7,38,4
137,138,no,yes,2,3,1,10,no,36,5,3,2,3,4,11,10,6,6,7,40,4
138,139,no,yes,2,3,2,11,no,39,5,3,2,3,5,12,11,6,6,8,43,4
139,140,yes,yes,2,1,1,10,no,28,3,1,2,3,4,9,10,4,4,5,32,4
140,141,yes,yes,2,1,2,11,no,31,3,1,2,3,5,10,11,4,4,6,35,4
141,142,yes,yes,3,0,1,11,no,33,3,1,3,3,4,11,13,4,4,5,37,4
142,143,yes,yes,3,0,0,10,no,30,3,1,3,3,3,10,12,4,4,4,34,4
